root@gitlab:~/dev/work/repositories/arc_study# python -m arc.run
INFO    | ARC | Task 244 | Failed    | runtime: 10.580s memory: 306.48Mb
INFO    | ARC | Task 282 | Failed    | runtime: 0.690s memory: 363.74Mb
INFO    | ARC | Task 256 | Failed    | runtime: 8.037s memory: 661.96Mb
INFO    | ARC | Task 283 | Failed    | runtime: 0.416s memory: 306.48Mb
INFO    | ARC | Task 285 | Failed    | runtime: 0.323s memory: 661.96Mb
INFO    | ARC | Task 280 | Failed    | runtime: 2.366s memory: 605.44Mb
INFO    | ARC | Task 284 | Failed    | runtime: 1.849s memory: 363.74Mb
INFO    | ARC | Task 289 | Failed    | runtime: 0.395s memory: 363.74Mb
INFO    | ARC | Task 290 | Failed    | runtime: 0.521s memory: 363.74Mb
INFO    | ARC | Task 291 | Failed    | runtime: 0.155s memory: 363.74Mb
INFO    | ARC | Task 281 | Failed    | runtime: 6.128s memory: 505.20Mb
INFO    | ARC | Task 286 | Failed    | runtime: 5.029s memory: 306.48Mb
INFO    | ARC | Task 293 | Failed    | runtime: 0.373s memory: 505.20Mb
INFO    | ARC | Task 292 | Failed    | runtime: 2.964s memory: 363.74Mb
INFO    | ARC | Task 296 | Failed    | runtime: 0.128s memory: 363.74Mb
INFO    | ARC | Task 287 | Failed    | runtime: 5.538s memory: 661.96Mb
INFO    | ARC | Task 288 | *Passed    | runtime: 4.990s memory: 605.44Mb
INFO    | ARC | Task 297 | Failed    | runtime: 0.262s memory: 363.74Mb
INFO    | ARC | Task 294 | Failed    | runtime: 0.967s memory: 306.48Mb
INFO    | ARC | Task 295 | Failed    | runtime: 0.864s memory: 505.20Mb
INFO    | ARC | Task 300 | Failed    | runtime: 0.274s memory: 363.74Mb
INFO    | ARC | Task 301 | Failed    | runtime: 0.255s memory: 306.48Mb
INFO    | ARC | Task 298 | Failed    | runtime: 1.038s memory: 661.96Mb
INFO    | ARC | Task 302 | Failed    | runtime: 0.897s memory: 505.20Mb
INFO    | ARC | Task 305 | Failed    | runtime: 0.856s memory: 306.48Mb
INFO    | ARC | Task 299 | Failed    | runtime: 1.298s memory: 605.44Mb
INFO    | ARC | Task 308 | Failed    | runtime: 0.412s memory: 306.48Mb
INFO    | ARC | Task 310 | Failed    | runtime: 0.195s memory: 306.48Mb
INFO    | ARC | Task 309 | Failed    | runtime: 0.685s memory: 605.44Mb
INFO    | ARC | Task 312 | Failed    | runtime: 0.050s memory: 605.44Mb
INFO    | ARC | Task 307 | Failed    | runtime: 1.206s memory: 505.20Mb
INFO    | ARC | Task 306 | *Passed    | runtime: 1.807s memory: 661.96Mb
INFO    | ARC | Task 314 | Failed    | runtime: 0.605s memory: 505.20Mb
INFO    | ARC | Task 316 | Failed    | runtime: 0.275s memory: 505.20Mb
INFO    | ARC | Task 317 | Failed    | runtime: 0.324s memory: 505.20Mb
INFO    | ARC | Task 318 | Failed    | runtime: 0.121s memory: 505.20Mb
INFO    | ARC | Task 319 | Failed    | runtime: 0.406s memory: 505.20Mb
INFO    | ARC | Task 313 | Failed    | runtime: 3.184s memory: 605.44Mb
INFO    | ARC | Task 320 | Failed    | runtime: 1.614s memory: 505.20Mb
INFO    | ARC | Task 304 | Failed    | runtime: 5.521s memory: 363.74Mb
INFO    | ARC | Task 323 | Failed    | runtime: 0.157s memory: 363.74Mb
